id,gender,age,study_level,prfinal1,prfinal2,prfinal3,prfinal4,prfinal5,prfinal6,prfinal7,prfinal8,prfinal9,prfinal10,prfinal11,prfinal12,prfinal13,ended,start_capital,end_capital,partida_id,prfinal14,prfinal15,winnings
1,d,28,r4,r1,r1,r4,r2,r2,r1,r1,r1,r2,r2,r4,r3,r2,1,40,12,1,r3,r2,12
2,h,45,r4,r1,r1,r1,r2,r3,r1,r1,r2,r2,r2,r3,r1,r2,1,40,14,1,r2,r2,14
3,h,15,r2,r1,r1,r2,r3,r1,r1,r2,r1,r1,r2,r3,r3,r2,1,40,28,1,r4,r4,28
4,,,,,,,,,,,,,,,,,,,,,,,
5,h,24,r6,r1,r2,r2,r3,r3,r1,r1,r1,r3,r2,r3,r3,r2,1,30,10,2,r3,r4,10
6,d,14,r2,r1,r2,r2,r3,r3,r1,r3,r1,r2,r2,r3,r3,r3,1,40,16,1,r1,r3,16
7,h,14,r2,r1,r2,r2,r3,r3,r1,r2,r1,r1,r2,r3,r3,r1,1,40,26,1,r3,r4,26
8,d,16,r4,r1,r3,r1,r3,r3,r1,r1,r1,r2,r2,r3,r3,r2,1,40,13,1,r2,r3,13
9,d,25,r4,r1,r2,r1,r2,r3,r3,r1,r2,r2,r2,r1,r3,r2,1,20,0,2,r2,r3,0
10,d,15,r2,r1,r1,r2,r3,r3,r3,r1,r3,r2,r2,r4,r4,r3,1,40,10,2,r4,r3,10
11,d,16,r3,r1,r2,r2,r3,r3,r3,r1,r1,r3,r2,r1,r3,r3,1,40,2,2,r2,r2,2
12,d,25,r6,r1,r1,r1,r2,r1,r2,r1,r2,r2,r2,r3,r3,r2,1,60,25,2,r1,r3,25
13,h,35,r5,r1,r1,r1,r3,r3,r3,r2,r2,r2,r2,r4,r4,r4,1,30,0,3,r3,r2,0
14,h,25,r5,r1,r1,r1,r3,r3,r3,r1,r2,r1,r2,r3,r3,r2,1,50,20,2,r2,r3,20
15,d,25,r5,r1,r1,r4,r2,r3,r1,r1,r1,r1,r2,r3,r3,r1,1,20,1,3,r4,r2,1
16,d,15,r2,r1,r2,r2,r3,r3,r2,r3,r1,r1,r2,r3,r3,r3,1,60,31,3,r3,r3,31
17,h,53,r4,r1,r2,r2,r3,r3,r3,r3,r1,r3,r2,r3,r3,r2,1,40,25,3,r2,r3,25
18,d,25,r3,r1,r2,r1,r3,r3,r3,r1,r1,r3,r2,r3,r3,r2,1,40,15,3,r3,r2,15
19,h,36,r6,r2,r1,r2,r3,r3,r3,r1,r2,r1,r2,r1,r3,r2,1,50,25,3,r1,r4,25
20,h,23,r4,r1,r1,r2,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,40,20,4,r3,r1,20
21,h,33,r6,r1,r1,r2,r2,r2,r1,r1,r1,r3,r2,r3,r3,r2,1,40,17,4,r3,r2,17
22,h,33,r6,r3,r1,r2,r2,r2,r1,r1,r2,r2,r2,r1,r3,r2,1,40,17,4,r1,r4,17
23,h,15,r3,r1,r1,r4,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,40,26,4,r2,r4,26
24,h,33,r5,r3,r1,r2,r1,r3,r1,r1,r1,r2,r1,r1,r3,r2,1,40,23,4,r1,r3,23
